Date,Price,Open,High,Low,Vol,Change %
2/25/2025,0.21145,0.210216,0.214457,0.196042,4.07B,0.59%
2/24/2025,0.210211,0.242833,0.24393,0.206561,2.54B,-13.43%
2/23/2025,0.242827,0.246576,0.247501,0.240455,625.08M,-1.52%
2/22/2025,0.246577,0.239586,0.247729,0.238212,823.99M,2.93%
2/21/2025,0.239559,0.254737,0.261063,0.234531,1.91B,-5.96%
2/20/2025,0.25474,0.254866,0.25742,0.250098,1.06B,-0.05%
2/19/2025,0.254876,0.251209,0.255351,0.248996,913.84M,1.42%
2/18/2025,0.2513,0.258189,0.25966,0.24239,1.55B,-2.67%
2/17/2025,0.258182,0.265716,0.268627,0.254015,1.26B,-2.84%
2/16/2025,0.265728,0.271776,0.274075,0.263873,842.34M,-2.23%
2/15/2025,0.271794,0.271835,0.282934,0.268399,1.50B,-0.01%
2/14/2025,0.271829,0.262421,0.28546,0.260981,2.19B,3.59%
2/13/2025,0.262417,0.264247,0.267077,0.253466,1.47B,-0.65%
2/12/2025,0.264136,0.253112,0.267113,0.247466,1.94B,4.34%
2/11/2025,0.253144,0.255386,0.269754,0.248857,1.67B,-0.87%
2/10/2025,0.255369,0.248889,0.256257,0.241767,1.31B,2.60%
2/9/2025,0.248892,0.252946,0.259893,0.240069,1.29B,-1.60%
2/8/2025,0.252946,0.246621,0.253949,0.244724,1.05B,2.56%
2/7/2025,0.246627,0.248048,0.261537,0.239082,2.07B,-0.58%
2/6/2025,0.248054,0.256025,0.265834,0.243517,1.84B,-3.11%
2/5/2025,0.256019,0.263625,0.269072,0.253752,1.63B,-2.87%
2/4/2025,0.26359,0.284918,0.288744,0.256045,4.11B,-7.49%
2/3/2025,0.28493,0.267879,0.292848,0.207265,10.04B,6.37%
2/2/2025,0.267872,0.308008,0.314694,0.253103,5.07B,-13.03%
2/1/2025,0.308015,0.328824,0.332099,0.303822,1.35B,-6.33%
1/31/2025,0.328821,0.331504,0.341224,0.32368,1.30B,-0.81%
1/30/2025,0.331504,0.323963,0.338698,0.322382,1.03B,2.33%
1/29/2025,0.323964,0.318723,0.333837,0.317061,1.46B,1.65%
1/28/2025,0.318709,0.333957,0.338927,0.315309,1.45B,-4.56%
1/27/2025,0.333943,0.335961,0.336952,0.307073,3.49B,-0.61%
